Type,No.,Address,City,St.,Opened,Closed
Neighborhood Market,4431,966 East Iredell Avenue,Mooresville,NC,"June 1, 2016",
Discount Store,1355,5167 Highway 70 West,Morehead City,NC,"October 2, 1989","August 21, 2001"
Supercenter,1355,300 Highway 24,Morehead City,NC,"August 22, 2001",
Discount Store,1060,1227 Burkemont Avenue,Morganton,NC,"October 20, 1987","October 31, 2013"
Supercenter,1060,120 Morganton Heights Boulevard,Morganton,NC,"November 1, 2013",
Neighborhood Market,7304,1001 North Green Street,Morganton,NC,"June 3, 2015",
Neighborhood Market,4147,3560 Davis Drive,Morrisville,NC,"June 26, 2013",
Supercenter,4250,"Shiloh Crossing, 1001 Shiloh Glenn Drive",Morrisville,NC,"June 17, 2009",
Discount Store,1039,"Forest Oaks Shopping Center, 2149 Rockford Street",Mount Airy,NC,"May 31, 1987","September 14, 1993"
Discount Store,1039,2241 Rockford Street,Mount Airy,NC,"September 15, 1993","October 14, 1997"
Supercenter,1039,2241 Rockford Street,Mount Airy,NC,"October 15, 1997",
Supercenter,3701,308 Highway 55 West,Mount Olive,NC,"May 9, 2007",
Discount Store,515,510 Andrews Road,Murphy,NC,"August 16, 1983",1993
Discount Store,515,2330 Highway 19,Murphy,NC,1993,2000
Supercenter,515,2330 Highway 19,Murphy,NC,2000,
Supercenter,4459,1205 Eastern Avenue,Nashville,NC,"March 5, 2008",
Discount Store,1300,"River Towne Square, 3005 Clarendon Boulevard",New Bern,NC,"February 2, 1989","March 23, 1999"
Supercenter,1300,"River Towne Square, 3105 Martin Luther King Jr. Boulevard",New Bern,NC,"March 24, 1999",
Neighborhood Market,7218,2915 Neuse Boulevard,New Bern,NC,"April 9, 2014",
Neighborhood Market,7098,6645 Highway 70 East,Newport,NC,"June 11, 2014",
Neighborhood Market,4432,1818 Northwest Boulevard,Newton,NC,"January 27, 2016",
Express,7207,1400 Broad Street,Oriental,NC,"May 2, 2014","January 28, 2016"
Discount Store,1579,714 Granville Corners,Oxford,NC,"January 30, 1991","September 15, 2009"
Supercenter,1579,1015 Lewis Street,Oxford,NC,"September 16, 2009",
Supercenter,5489,930 Highway 711 East,Pembroke,NC,"October 26, 2005",
Express,2573,303 South Goldsboro Street,Pikeville,NC,"January 23, 2013","January 28, 2016"
Discount Store,1795,"Forest Gate Center, 177 Forest Gate Drive",Pisgah Forest,NC,"August 4, 1992",
Express,3211,509 Dr. Donnie H. Jones Boulevard West,Princeton,NC,"May 8, 2013","January 28, 2016"
Supercenter,5787,4545 Fayetteville Road,Raeford,NC,"July 21, 2010",
Discount Store,1372,1527 Garner Station Boulevard,Raleigh,NC,"January 27, 1990","July 15, 2008"
Supercenter,1372,4500 Fayetteville Road,Raleigh,NC,"July 16, 2008",
Discount Store,1751,6600 Glenwood Avenue,Raleigh,NC,"November 5, 1991",
Discount Store,2058,1725 New Hope Church Road,Raleigh,NC,"September 28, 1993","May 10, 2005"
Supercenter,2058,1725 New Hope Church Road,Raleigh,NC,"May 11, 2005",
Supercenter,4484,8000 Town Drive,Raleigh,NC,"January 26, 2011",
Supercenter,5118,10050 Glenwood Avenue,Raleigh,NC,"October 29, 2003",
Supercenter,5292,4431 New Bern Avenue,Raleigh,NC,"August 25, 2004",
Supercenter,2704,1021 High Point Road,Randleman,NC,"March 17, 1999",
Express,5015,908 East 4th Avenue,Red Springs,NC,"February 20, 2013","January 28, 2016"
Supercenter,3304,1624 Highway 14,Reidsville,NC,"October 26, 2005",
Express,3007,139 North Highway 49,Richfield,NC,"June 15, 2011","January 17, 2016"
Supercenter,7009,349 Kinston Highway,Richlands,NC,"April 22, 2015",
Discount Store,1502,1350 Julian Allisbrook Highway,Roanoke Rapids,NC,"October 29, 1990","May 20, 2003"
Supercenter,1502,251 Premier Boulevard,Roanoke Rapids,NC,"May 21, 2003",
Discount Store,1010,1788 Broad Avenue,Rockingham,NC,"November 18, 1986","July 19, 2005"
Supercenter,1010,720 East Highway 74 Business,Rockingham,NC,"July 20, 2005",
Discount Store,1197,955 North Wesleyan Boulevard,Rocky Mount,NC,"September 1, 1988","March 14, 2000"
Supercenter,1197,1511 Benvenue Road,Rocky Mount,NC,"March 15, 2000",
Discount Store,1288,355 South Madison Road,Roxboro,NC,"April 3, 1989","October 15, 2002"
Supercenter,1288,1049 Durham Road,Roxboro,NC,"October 16, 2002",
Discount Store,1552,725 Jake Alexander Boulevard South,Salisbury,NC,"December 3, 1990","October 29, 2002"
Supercenter,1552,323 South Arlington Street,Salisbury,NC,"October 30, 2002",
Discount Store,1774,3000 South Horner Boulevard,Sanford,NC,"December 31, 1991","September 18, 2007"
Supercenter,1774,3310 Highway 87 South,Sanford,NC,"September 19, 2007",
Discount Store,1767,4540 Main Street,Shallotte,NC,"May 5, 1992","October 10, 2000"
Supercenter,1767,4540 Main Street,Shallotte,NC,"October 11, 2000",
Discount Store,1034,1730 East Dixon Boulevard,Shelby,NC,"June 30, 1987","June 15, 1999"
Supercenter,1034,705 East Dixon Boulevard,Shelby,NC,"June 16, 1999",
Supercenter,2845,14215 US Highway 64 West,Siler City,NC,"July 19, 2000",
Discount Store,1321,1231 North Brightleaf Boulevard,Smithfield,NC,"August 31, 1989",April 1997
Supercenter,1321,1299 North Brightleaf Boulevard,Smithfield,NC,April 1997,
Express,3037,905 Southeast 2nd Street,Snow Hill,NC,"October 19, 2011","January 28, 2016"
Supercenter,2772,1675 North Howe Street,Southport,NC,"January 26, 2000",
Discount Store,1036,"White Oaks Plaza, 1175 US Highway 74 Bypass",Spindale,NC,"March 3, 1987",March 2000
Discount Store,1312,1111 North Bragg Boulevard,Spring Lake,NC,"June 29, 1989","April 13, 2004"
Supercenter,1312,670 Lillington Highway,Spring Lake,NC,"April 14, 2004",
Supercenter,2749,2514 Halltown Road,Spruce Pine,NC,"January 26, 2000",
Neighborhood Market,7329,120 South Odom Road,St. Pauls,NC,"December 10, 2014",
Discount Store,1662,1116 Crossroads Drive,Statesville,NC,"June 29, 1991","September 22, 1998"
Supercenter,1662,1116 Crossroads Drive,Statesville,NC,"September 23, 1998",
Express,5017,7670 Clinton Road,Stedman,NC,"February 20, 2013","January 28, 2016"
Neighborhood Market,7162,420 Fun Center Drive,Surf City,NC,"May 14, 2014",
Supercenter,7179,1109 West Corbett Avenue,Swansboro,NC,"January 24, 2018",
Supercenter,2440,210 Wal-Mart Plaza,Sylva,NC,"March 27, 1996",
Supercenter,2730,110 River Oaks Drive,Tarboro,NC,"January 26, 2000",
Discount Store,1131,577 3rd Street Southwest,Taylorsville,NC,"February 2, 1988","March 13, 2001"
Supercenter,1131,901 Highway 16 South,Taylorsville,NC,"March 14, 2001",
Supercenter,3503,1585 Liberty Drive,Thomasville,NC,"July 17, 2002",
Discount Store,1127,1047 East Caswell Street,Wadesboro,NC,"November 17, 1988","November 7, 2006"
Supercenter,1127,2004 US Highway 74 West,Wadesboro,NC,"November 8, 2006","April 3, 2020"
Supercenter,5254,2114 South Main Street,Wake Forest,NC,"July 21, 2004",
Discount Store,1352,715 North Norwood Street,Wallace,NC,"November 16, 1989","August 18, 2009"
Supercenter,1352,5625 South Highway 41,Wallace,NC,"August 19, 2009",
Discount Store,1354,350 Pamlico Plaza,Washington,NC,"November 16, 1989","January 26, 1999"
Supercenter,1354,570 Pamlico Plaza,Washington,NC,"January 27, 1999",
Neighborhood Market,7180,2520 Cuthbertson Road,Waxhaw,NC,"January 7, 2015",
Supercenter,1663,135 Town Center Loop,Waynesville,NC,"September 24, 2008",
Supercenter,4334,25 Northridge Commons Parkway,Weaverville,NC,"June 17, 2009",
Supercenter,3289,1489 Mount Jefferson Road,West Jefferson,NC,"October 24, 2001",
Discount Store,1268,1820 South Madison Street,Whiteville,NC,"February 2, 1989","April 15, 2003"
Supercenter,1268,200 Columbus Corners Drive,Whiteville,NC,"April 16, 2003",
Discount Store,1290,1834 Winkler Street,Wilkesboro,NC,"May 2, 1989","April 28, 2009"
Supercenter,1290,1801 US Highway 421 North,Wilkesboro,NC,"April 29, 2009",
Discount Store,1641,809 East Boulevard,Williamston,NC,"January 30, 1991","March 6, 2008"
Supercenter,1641,1529 Washington Street,Williamston,NC,"March 7, 2008",
Discount Store,1348,5511 Carolina Beach Road,Wilmington,NC,"April 28, 1990","August 13, 2002"
Supercenter,1348,5135 Carolina Beach Road,Wilmington,NC,"August 14, 2002",
Discount Store,1392,352 South College Road,Wilmington,NC,"August 1, 1989","January 23, 2001"
Supercenter,1392,5226 Sigmon Road,Wilmington,NC,"January 24, 2001",
Supercenter,4065,8035 Market Street,Wilmington,NC,"July 1, 2015",
Discount Store,1664,2500 Forrest Hills Road West,Wilson,NC,"July 27, 1993","October 14, 1997"
Supercenter,1664,2500 Forrest Hills Road West,Wilson,NC,"October 15, 1997",
Neighborhood Market,4545,2700 Ward Boulevard,Wilson,NC,"November 11, 2015",
Discount Store,1849,284 Summit Square Boulevard,Winston-Salem,NC,"September 1, 1992","September 18, 2001"
Supercenter,1849,320 East Hanes Mill Road,Winston-Salem,NC,"September 19, 2001",
Supercenter,2472,4550 Kester Mill Road,Winston-Salem,NC,"August 13, 1997",
Supercenter,3626,3475 Parkway Village Court,Winston-Salem,NC,"January 22, 2007",
Neighborhood Market,6263,5039 University Parkway,Winston-Salem,NC,"January 28, 2015",
Neighborhood Market,6264,180 Harvey Street,Winston-Salem,NC,"January 7, 2015",
Neighborhood Market,6814,5175 Brookberry Park Avenue,Winston-Salem,NC,"December 10, 2014",
Neighborhood Market,7235,3801 South Memorial Drive,Winterville,NC,"January 7, 2015",
Express,3036,1593 Highway 86 North,Yanceyville,NC,"December 14, 2011","January 28, 2016"
Supercenter,4499,841 East Gannon Avenue,Zebulon,NC,"March 5, 2008",
Discount Store,1534,701 South Washington Street,Bismarck,ND,"December 3, 1990","April 18, 2006"
Supercenter,1534,2717 Rock Island Place,Bismarck,ND,"April 19, 2006",
Supercenter,3648,1400 Skyline Boulevard,Bismarck,ND,"April 19, 2006",
Supercenter,4569,912 11th Street East,Bottineau,ND,"March 5, 2008",
Discount Store,1695,210 Highway 2 West,Devils Lake,ND,"March 3, 1992","July 14, 2014"
Supercenter,1695,1424 Highway 2 East,Devils Lake,ND,"July 15, 2014",
Discount Store,1567,2003 3rd Avenue West,Dickinson,ND,"November 14, 1990","March 21, 2006"
Supercenter,1567,2456 3rd Avenue West,Dickinson,ND,"March 22, 2006",
Discount Store,1581,4731 13th Avenue Southwest,Fargo,ND,"December 1, 1990","May 24, 2005"
Supercenter,1581,4731 13th Avenue Southwest,Fargo,ND,"May 25, 2005",
Supercenter,4352,3757 55th Avenue South,Fargo,ND,"October 28, 2009",
Discount Store,1545,2551 32nd Avenue South,Grand Forks,ND,"December 31, 1990","October 17, 2006"
Supercenter,1545,2551 32nd Avenue South,Grand Forks,ND,"October 18, 2006",
Supercenter,5806,5755 Gateway Drive,Grand Forks,ND,"April 2, 2014",
Discount Store,1649,921 25th Street Southwest,Jamestown,ND,"April 2, 1991","June 10, 2008"
Supercenter,1649,921 25th Street Southwest,Jamestown,ND,"June 11, 2008",
Supercenter,2033,1000 Old Red Trail Northeast,Mandan,ND,"September 11, 2013",
Discount Store,1636,1901 22nd Avenue Southwest,Minot,ND,"April 2, 1991","July 18, 2006"
Supercenter,1636,3900 South Broadway,Minot,ND,"July 19, 2006",
Supercenter,3875,1625 Commerce Drive,Wahpeton,ND,"August 8, 2007",
Discount Store,1565,120 26th Street East,Williston,ND,"December 3, 1990","September 19, 2006"
Supercenter,1565,4001 2nd Avenue West,Williston,ND,"September 20, 2006",
Supercenter,2784,3620 North 6th Street,Beatrice,NE,"January 26, 2000",
Supercenter,2847,10504 South 15th Street,Bellevue,NE,"January 24, 2001",
Neighborhood Market,3154,2109 Towne Center Drive,Bellevue,NE,"March 1, 2013",
Supercenter,4568,1882 Holly Street,Blair,NE,"March 14, 2012",
Supercenter,2579,510 Linden Street,Chadron,NE,"January 26, 1998",
Discount Store,774,3620 23rd Street,Columbus,NE,"April 30, 1985","April 12, 2005"
Supercenter,774,818 East 23rd Street,Columbus,NE,"April 13, 2005",
Supercenter,4322,1800 East 29th Street,Crete,NE,"June 13, 2007",
Discount Store,418,1501 K Street,Fairbury,NE,"August 3, 1982","January 18, 2007"
Supercenter,418,2831 Highway 15,Fairbury,NE,"January 19, 2007",
Discount Store,776,2660 East 23rd Avenue North,Fremont,NE,"June 4, 1985","January 24, 1995"
Supercenter,776,3010 East 23rd Avenue North,Fremont,NE,"January 25, 1995",
Discount Store,1326,3530 West 13th Street,Grand Island,NE,"June 1, 1989","July 19, 2005"
Supercenter,1326,2250 North Diers Avenue,Grand Island,NE,"July 20, 2005",
Supercenter,3395,3501 South Locust Street,Grand Island,NE,"July 20, 2005",
Supercenter,4600,11350 Wickersham Boulevard,Gretna,NE,"September 15, 2010",
Discount Store,1460,3000 Osborne Drive East,Hastings,NE,"May 30, 1990","March 22, 2005"
Supercenter,1460,3803 Osborne Drive West,Hastings,NE,"March 23, 2005",
Discount Store,598,"Hilltop Mall, 4915 2nd Avenue",Kearney,NE,"October 16, 1984","July 18, 1995"
Supercenter,598,5411 2nd Avenue,Kearney,NE,"July 19, 1995",
Discount Store,1671,7904 South 83rd Street,La Vista,NE,"July 31, 1991","October 17, 2006"
Supercenter,1671,8525 South 71st Plaza,La Vista,NE,"October 18, 2006",
Neighborhood Market,3173,9460 Giles Road,La Vista,NE,"November 15, 2013",
Discount Store,637,1501 South Plum Creek Parkway,Lexington,NE,"February 5, 1985","March 16, 2004"
Supercenter,637,200 Frontier Street,Lexington,NE,"March 17, 2004",
Discount Store,1943,4700 North 27th Street,Lincoln,NE,"April 30, 1993","October 23, 2001"
Supercenter,1943,4700 North 27th Street,Lincoln,NE,"October 24, 2001",
Supercenter,2432,2501 Grainger Parkway,Lincoln,NE,"July 17, 2013",
Supercenter,3278,8700 Andermatt Drive,Lincoln,NE,"March 19, 2003",
Supercenter,3823,3400 North 85th Street,Lincoln,NE,"October 29, 2008",
Discount Store,790,200 Westview Plaza,McCook,NE,"July 16, 1985","July 18, 1995"
Supercenter,790,1902 West B Street,McCook,NE,"July 19, 1995",
Supercenter,4209,2101 South 11th Street,Nebraska City,NE,"January 19, 2007",
Discount Store,645,919 South 20th Street,Norfolk,NE,"August 2, 1984","January 24, 1995"
Supercenter,645,2400 West Pasewalk Avenue,Norfolk,NE,"January 25, 1995",
Discount Store,1585,1401 South Dewey Street,North Platte,NE,"December 29, 1990","May 16, 2000"
Supercenter,1585,1401 South Dewey Street,North Platte,NE,"May 17, 2000",
Supercenter,7129,201 Pony Express Lane,Ogallala,NE,"January 28, 2015",
Discount Store,1637,5417 North 103rd Street,Omaha,NE,"April 2, 1991","January 27, 2004"
Supercenter,1637,6304 North 99th Street,Omaha,NE,"January 28, 2004",
Supercenter,3151,5018 Ames Avenue,Omaha,NE,"January 15, 2014",
Neighborhood Market,3152,2451 North 90th Street,Omaha,NE,"January 15, 2014",
Neighborhood Market,3153,6710 South 167th Street,Omaha,NE,"June 12, 2013",
Neighborhood Market,3172,5051 L Street,Omaha,NE,"July 17, 2013",
Supercenter,3267,18201 Wright Street,Omaha,NE,"April 18, 2001",
Neighborhood Market,4138,13105 Birch Drive,Omaha,NE,"March 1, 2013",
Neighborhood Market,4139,360 North Saddle Creek Road,Omaha,NE,"August 20, 2014",
Supercenter,4358,1606 South 72nd Street,Omaha,NE,"October 29, 2008",
Supercenter,5141,16960 West Maple Road,Omaha,NE,"September 14, 2005",
Supercenter,5361,12850 L Street,Omaha    ,NE,"August 25, 2004",
Discount Store,867,"Monument Mall, 2410 Frontage Road",Scottsbluff,NE,"March 1, 1986","October 29, 2002"
Supercenter,867,3322 Avenue I,Scottsbluff,NE,"October 30, 2002",
Discount Store,885,1405 280th Road,Seward,NE,"April 1, 1986","April 12, 2005"
Supercenter,885,1326 280th Road,Seward,NE,"April 13, 2005",
Supercenter,5170,3001 Silverberg Drive,Sidney,NE,"January 21, 2004",
Discount Store,1332,2727 Cornhusker Drive,South Sioux City,NE,"August 31, 1989","July 18, 2006"
Supercenter,1332,1601 Cornhusker Drive,South Sioux City,NE,"July 19, 2006",
Discount Store,350,220 East Nobes Road,York,NE,"October 30, 1984","April 12, 2005"
Supercenter,350,101 East David Drive,York,NE,"April 13, 2005",
Discount Store,1796,85 Route 101A,Amherst,NH,"June 20, 1992","April 25, 2000"
Supercenter,1796,85 Route 101A,Amherst,NH,"April 26, 2000",
Discount Store,2246,17 Colby Court,Bedford,NH,"January 31, 1995","June 14, 2019"
Discount Store,1975,14 Bowen Street,Claremont,NH,"August 28, 1993","October 27, 1998"
Supercenter,1975,14 Bowen Street,Claremont,NH,"October 28, 1998",
Discount Store,2055,344 Loudon Road,Concord,NH,"October 30, 1993","June 22, 1999"
Supercenter,2055,344 Loudon Road,Concord,NH,"June 23, 1999",
Discount Store,1753,30 Manchester Road,Derry,NH,"February 4, 1992","September 11, 2012"
Supercenter,1753,11 Ashleigh Drive,Derry,NH,"September 12, 2012",
Supercenter,3535,35 Fresh River Road,Epping,NH,"January 21, 2004",
Discount Store,2639,"Lake Shore Marketplace, 1458 Lake Shore Road",Gilford,NH,"January 26, 1998","October 28, 2014"
Supercenter,2639,"Lake Shore Marketplace, 1458 Lake Shore Road",Gilford,NH,"October 29, 2014",
Discount Store,2634,491 Main Street,Gorham,NH,"April 15, 1998","May 8, 2007"
Supercenter,2634,561 Main Street,Gorham,NH,"May 9, 2007",
Discount Store,1907,18 George's Field Road,Hinsdale,NH,"February 2, 1993","April 12, 2011"
Supercenter,1907,724 Brattleboro Road,Hinsdale,NH,"April 13, 2011",
Discount Store,1698,"Granite State Marketplace, 1328 Hooksett Road",Hooksett,NH,"July 2, 1991","August 18, 2009"
Supercenter,1698,3 Commerce Drive,Hooksett,NH,"August 19, 2009",
Discount Store,1785,254 Lowell Road,Hudson,NH,"April 30, 1993",
Discount Store,3549,350 Winchester Street,Keene,NH,"June 19, 2002",
Discount Store,2138,285 Plainfield Road,Lebanon,NH,"January 27, 1999",
Discount Store,2681,615 Meadow Street,Littleton,NH,"October 14, 1998",
Discount Store,2399,300 Keller Street,Manchester,NH,"March 14, 2001","April 19, 2016"
Supercenter,2399,725 Gold Street,Manchester,NH,"April 20, 2016",
Discount Store,2398,2200 Woodbury Avenue,Newington,NH,"January 24, 2001",
Discount Store,2140,46 North-South Road,North Conway,NH,"October 27, 1999","March 3, 2015"
Supercenter,2140,46 North-South Road,North Conway,NH,"March 4, 2015",
Discount Store,1930,58 Plaistow Road,Plaistow,NH,"February 2, 1993",
Supercenter,2758,683 Tenney Mountain Highway,Plymouth,NH,"October 30, 2002",
Discount Store,2130,2460 Lafayette Road,Portsmouth,NH,"August 31, 1994","April 3, 2007"
Supercenter,2130,2460 Lafayette Road,Portsmouth,NH,"April 4, 2007",
Discount Store,2057,750 US Highway 202,Rindge,NH,"January 25, 1994",
Discount Store,2330,116 Farmington Road,Rochester,NH,"January 29, 1997","April 3, 2007"
Supercenter,2330,116 Farmington Road,Rochester,NH,"April 4, 2007",
Discount Store,2142,326 North Broadway,Salem,NH,"January 31, 1995","April 24, 2001"
Supercenter,2142,326 North Broadway,Salem,NH,"April 25, 2001",
Discount Store,1762,270 Lafayette Road,Seabrook,NH,"February 4, 1992","June 3, 2014"
Supercenter,1762,700 Lafayette Road,Seabrook,NH,"June 4, 2014",
Discount Store,1749,59 Waltons Way,Somersworth,NH,"February 4, 1992","October 27, 1998"
Supercenter,1749,59 Waltons Way,Somersworth,NH,"October 28, 1998",
Discount Store,2369,39 East Main Street,Tilton,NH,"July 25, 1995","January 28, 2014"
Supercenter,2369,33 Sherwood Drive,Tilton,NH,"January 29, 2014",
Supercenter,4389,4901 Dartmouth College Highway,Woodsville,NH,"March 7, 2008",
Discount Store,5047,130 Blackhorse Pike,Audubon,NJ,"October 26, 2005",
Supercenter,5867,500 Bayonne Crossing Way,Bayonne,NJ,"October 12, 2011",
Discount Store,1807,265 Route 73 North,Berlin,NJ,"August 4, 1992","October 29, 2013"
Supercenter,1807,265 Route 73 North,Berlin,NJ,"October 30, 2013",
Discount Store,5077,300 Wootton Street,Boonton,NJ,"July 21, 2004",
Discount Store,1977,1872 Route 88,Brick,NJ,"August 31, 1993","October 1, 2013"
Supercenter,1977,1872 Route 88,Brick,NJ,"October 2, 2013",
Discount Store,5384,1130 Highway 77,Bridgeton,NJ,"April 19, 2006",
Discount Store,2040,2106 Mount Holly Road,Burlington,NJ,"January 4, 1994","June 3, 2014"
Supercenter,2040,2106 Mount Holly Road,Burlington,NJ,"June 4, 2014",
Discount Store,3598,235 Ridgedale Avenue,Cedar Knolls,NJ,"January 22, 2003",
Discount Store,5340,500 Route 38,Cherry Hill,NJ,"January 26, 2005",
Discount Store,2871,2501 Route 130 South,Cinnaminson,NJ,"January 22, 2003","October 30, 2018"
Supercenter,2871,2501 Route 130 South,Cinnaminson,NJ,"October 31, 2018",
Discount Store,2582,34 Walmart Plaza,Clinton,NJ,"March 26, 1997",
Supercenter,3078,290 Route 18,East Brunswick,NJ,"October 22, 2014",
Discount Store,3266,839 Route 130 North,East Windsor,NJ,"May 4, 2005",
Discount Store,5201,2220 Route 27,Edison,NJ,"November 12, 2008",
Supercenter,3212,6801 Black Horse Pike,Egg Harbor Township,NJ,"July 19, 2017",
Supercenter,2294,152 Route 31 North,Flemington,NJ,"September 16, 2009",
Discount Store,2090,230 State Highway,Franklin,NJ,"October 13, 1999",
Discount Store,3236,326 West Main Street,Freehold,NJ,"March 8, 2006","September 13, 2011"
Supercenter,3236,326 West Main Street,Freehold,NJ,"September 14, 2011",
Supercenter,5752,174 Passaic Street,Garfield,NJ,"August 18, 2010",
Discount Store,2503,1885 Route 57,Hackettstown,NJ,"January 26, 2000",2010
Supercenter,2503,1885 Route 57,Hackettstown,NJ,2010,
Discount Store,2518,700 Marketplace Boulevard,Hamilton,NJ,"March 19, 2003",
Supercenter,5012,1750 Nottingham Way,Hamilton,NJ,"October 5, 2016",
Discount Store,2254,55 South White Horse Pike,Hammonton,NJ,"December 30, 1995",
Discount Store,2195,4900 US Highway 9,Howell,NJ,"October 17, 1995","October 2, 2012"
Supercenter,2195,4900 US Highway 9,Howell,NJ,"October 3, 2012",
Discount Store,5447,150 Harrison Avenue,Kearny,NJ,"June 14, 2006","May 7, 2013"
Supercenter,5447,150 Harrison Avenue,Kearny,NJ,"May 8, 2013",
Supercenter,5414,580 US Highway 9,Lanoka Harbor,NJ,"October 7, 2009",
Discount Store,2569,"Ledgewood Commons, 461 Route 10",Ledgewood,NJ,"March 17, 1999","May 10, 2019"
Supercenter,3912,"Ledgewood Commons, 461 Route 10",Ledgewood,NJ,"October 7, 2020",
Discount Store,3469,"Linden Plaza, 1601 West Edgar Road",Linden,NJ,"October 24, 2001","November 12, 2019"
Supercenter,3469,"Legacy Square, 1050 West Edgar Road",Linden,NJ,"November 13, 2019",
Supercenter,3830,631 Route 9 South,Little Egg Harbor,NJ,"July 13, 2016",
Discount Store,2841,1740 Route 38,Lumberton,NJ,"October 25, 2000",
Discount Store,1921,525 Route 72 West,Manahawkin,NJ,"June 26, 1993",
Discount Store,2651,100 North Main Street,Manville,NJ,"October 28, 1998","October 21, 2014"
Supercenter,2651,100 North Main Street,Manville,NJ,"October 22, 2014",
Discount Store,1869,150 Route 70 East,Marlton,NJ,"February 2, 1993",
Discount Store,2108,4620 Black Horse Pike,Mays Landing,NJ,"October 22, 1994","October 25, 2012"
Supercenter,2108,4620 Black Horse Pike,Mays Landing,NJ,"October 26, 2012",
Discount Store,2109,2291 North Second Street,Millville,NJ,"December 31, 1994",
Supercenter,5944,934 Highway 73,Mount Laurel,NJ,"June 6, 2018",
Discount Store,3291,40 International Drive South,Mount Olive,NJ,"January 23, 2002",
Discount Store,5142,3575 Route 66,Neptune Township,NJ,"January 28, 2004","August 31, 2010"
Supercenter,5142,3575 Route 66,Neptune Township,NJ,"September 1, 2010",
Discount Store,2604,26 Hampton House Road,Newton,NJ,"January 26, 2000",
Supercenter,3795,2100 88th Street,North Bergen,NJ,"January 20, 2010",
Discount Store,2003,979 Route 1 South,North Brunswick,NJ,"October 23, 1993","May 15, 2018"
Supercenter,2003,979 Route 1 South,North Brunswick,NJ,"May 16, 2018",
Discount Store,2825,1126 Route 9,Old Bridge,NJ,"September 19, 2001",
Supercenter,4153,2825 Route 18 South,Old Bridge,NJ,"April 9, 2014",
Discount Store,2041,709 South Broadway,Pennsville,NJ,"October 26, 1993",
Discount Store,2497,1236 US Highway 22,Phillipsburg,NJ,"October 29, 1997","January 31, 2012"
Supercenter,2497,1300 US Highway 22,Phillipsburg,NJ,"February 1, 2012",
Discount Store,2633,1303 Centennial Avenue,Piscataway,NJ,"October 28, 1998",
Discount Store,2171,101 Nassau Park Boulevard,Princeton,NJ,"May 27, 1995","August 21, 2020"
Discount Store,5069,3576 Route 22 West,Readington,NJ,"January 28, 2004","February 28, 2018"
Discount Store,3337,3159 Route 9 South,Rio Grande,NJ,"June 13, 2007","February 1, 2019"
Supercenter,3337,3159 Route 9 South,Rio Grande,NJ,"February 2, 2019",
Discount Store,3443,48 Route 23,Riverdale,NJ,"November 8, 2006",
Discount Store,5178,220 Enterprise Drive,Rockaway,NJ,"June 15, 2005",
Discount Store,3562,189 Route 46 West,Saddle Brook,NJ,"June 19, 2002",
Discount Store,3520,400 Park Place,Secaucus,NJ,"October 27, 2004","June 15, 2010"
Supercenter,3520,400 Park Place,Secaucus,NJ,"June 16, 2010",
Supercenter,4456,1 Coopertown Boulevard,Somerdale,NJ,"November 10, 2010",
Supercenter,3159,1 Teterboro Landing Drive,Teterboro,NJ,"April 22, 2015",
Discount Store,1844,950 Route 37 West,Toms River,NJ,"March 2, 1993",
Discount Store,1742,"Cross Keys Commons, 3501 Route 42",Turnersville,NJ,"September 11, 1991","October 25, 2005"
Supercenter,1742,"Cross Keys Commons, 3501 Route 42",Turnersville,NJ,"October 26, 2005",
Discount Store,3292,900 Springfield Road,Union,NJ,"September 19, 2001",
Supercenter,3339,1070 West Landis Avenue,Vineland,NJ,"January 21, 2009",
Discount Store,5111,1501 Route 22 West,Watchung,NJ,"January 28, 2004",
Supercenter,3774,1840 South Black Horse Pike,Williamstown,NJ,"June 13, 2012",
Discount Store,5281,"Woodbridge Commons, 360 US Highway 9 North",Woodbridge,NJ,"October 27, 2004",
Supercenter,3422,"Deptford Landing, 2000 Clements Bridge Road",Woodbury,NJ,"September 17, 2008",
Supercenter,5476,820 Cooper Street,Woodbury,NJ,"September 2, 2009",
Neighborhood Market,3317,8511 Golf Course Road Northwest,Alameda,NM,"January 31, 2006",
Discount Store,1306,1900 Highway 54 South,Alamogordo,NM,"February 2, 1989","October 27, 1998"
Supercenter,1306,233 South New York Avenue,Alamogordo,NM,"October 28, 1998",
Neighborhood Market,5726,2401 Indian Wells Road,Alamogordo,NM,"June 15, 2016",
Discount Store,824,4315 Wyoming Boulevard Northeast,Albuquerque,NM,"July 2, 1985",September 1993
Discount Store,824,8000 Academy Road Northeast,Albuquerque,NM,September 1993,"October 25, 2012"
Supercenter,824,8000 Academy Road Northeast,Albuquerque,NM,"October 26, 2012",
Discount Store,831,5555 Zuni Road Southeast,Albuquerque,NM,"July 2, 1985","January 24, 1995"
Discount Store,831,301 San Mateo Boulevard Southeast,Albuquerque,NM,"January 25, 1995","April 22, 2003"
Supercenter,831,301 San Mateo Boulevard Southeast,Albuquerque,NM,"April 23, 2003","March 10, 2023"
Discount Store,835,700 Juan Tabo Boulevard Northeast,Albuquerque,NM,"July 2, 1985","November 1, 1992"
Discount Store,835,"Towne Park Plaza, 400 Eubank Boulevard Northeast",Albuquerque,NM,"November 2, 1992","September 2, 2002"
